sub_grade,n_loans,avg_loan,avg_PD,avg_profit,total_profit,total_loan,grade,profit_ratio,weight,allocated_budget,n_loans_target,expected_total_profit
B4,5108,12988.087314017228,0.12656070130943156,1692.117810978669,8643337.778479042,66343150.0,B,0.13028229407978129,0.06652375695232676,74049065.70175749,5701,9646763.640389392
B3,5383,12760.579602452164,0.11201692286276155,1640.9486495622705,8833226.580593701,68690200.0,B,0.1285951501173923,0.06566228029741907,73090136.97700875,5727,9397712.916043123
B2,4484,13139.367752007136,0.09970613592586261,1587.0219595150281,7116206.466465387,58916925.0,B,0.12078373856859274,0.061673676573503027,68650333.9240604,5224,8290602.716506507
C1,4744,13036.857082630691,0.1653274421068772,1535.576849206205,7284776.572634237,61846850.0,C,0.1177873500854811,0.060143683410631595,66947264.68336949,5135,7885187.120673862
B5,4365,12416.489117983963,0.1451698915924606,1453.8629902684734,6346111.952521887,54197975.0,B,0.11709131111488734,0.05978827727017193,66551654.24506298,5359,7791251.764848749
C2,4510,13457.256097560976,0.19009408833984,1488.9393531486276,6715116.482700311,60692225.0,C,0.1106421206785599,0.05649524055972842,62886102.22423109,4673,6957813.597263536
B1,3857,12767.571947109152,0.09189192365030788,1395.3979439174204,5382049.869689491,49244525.0,B,0.10929235015850981,0.055806030973334114,62118927.78485349,4865,6788610.997158251
A5,3652,13809.494797371304,0.07894534917612156,1462.8268610180085,5342243.696437767,50432275.0,A,0.10592906420417811,0.05408869540622992,60207323.569060385,4359,6376462.287177498
C4,4008,14358.551646706586,0.2344582378659376,1459.1686902064962,5848348.110347637,57549075.0,C,0.1016236683273821,0.05189030681540469,57760248.58926526,4022,5868776.472010528
C3,4187,13677.818246954861,0.21625589321608993,1374.2844161304217,5754128.850338076,57269025.0,C,0.1004754114521432,0.05130399259806021,57107609.261737056,4175,5737637.437344511
A3,2142,13108.380018674135,0.05719662605058777,1309.5066929693285,2804963.3363403017,28078150.0,A,0.09989843833515748,0.05100938296078379,56779672.75624645,4331,5671473.487250161
A4,3119,13479.079833279897,0.0653410031951529,1345.0187496634292,4195113.480200236,42041250.0,A,0.09978565052657178,0.050951792105337644,56715567.10085166,4207,5658493.879834047
C5,3598,14400.562812673708,0.2502503577762326,1351.4978123258736,4862689.128748493,51813225.0,C,0.09385034667787023,0.04792115226699213,53342094.84388285,3704,5005947.896855036
A2,1934,12479.925025853154,0.049640939578572664,1156.2403713176125,2236168.8781282627,24136175.0,A,0.09264802223750294,0.04730723047958596,52658724.919301495,4219,4878178.126589007
A1,1869,12965.502942750134,0.039038708342467726,1173.3859319673838,2193058.3068470405,24232525.0,A,0.09050061051611585,0.04621073539221321,51438191.97759308,3967,4654821.992114612
D1,3300,13969.128787878788,0.27358085556040473,1031.7280892715473,3404702.694596106,46098125.0,D,0.07385772620027617,0.03771267202118733,41978809.619652085,3005,3100342.9082609997
D4,2390,15745.15690376569,0.3210114757700069,1090.4721449878111,2606228.4265208687,37630925.0,D,0.06925762325855314,0.03536380234390432,39364230.81312676,2500,2726180.362469528
D2,2829,13995.201484623542,0.28701718659638165,963.1183811530802,2724661.900282064,39592425.0,D,0.06881775744431072,0.035139201397743666,39114222.5306594,2794,2690952.7569417064
D5,1923,16107.098283931356,0.3397506040017182,1059.6736079055693,2037752.3480024098,30973950.0,D,0.06578923088603196,0.033592798134663045,37392886.84435216,2321,2459502.4439488263
D3,2427,14035.82612278533,0.29780644102518455,863.5504402092521,2095836.918387855,34064950.0,D,0.06152473197194932,0.03141529204077917,34969056.633927695,2491,2151104.146561247
