sub_grade,grade,optimal_rate,PD_at_optimal,E_profit
A1,A,12.0,0.060402866947775434,2037.591648342951
A2,A,13.0,0.06147865854471016,2035.0988569694473
A3,A,13.17,0.06614827740007508,2133.8562208553235
A4,A,14.04,0.07105912076858877,2313.5960905593793
A5,A,15.0,0.09861439076067548,2178.140431461865
B1,B,16.0,0.1115465681793372,2178.1796167440507
B2,B,16.0,0.11480514739641653,2121.760814405442
B3,B,16.0,0.10779978509914143,2071.5418841464107
B4,B,16.0,0.12062280399984375,1931.1018078308755
B5,B,16.0,0.13305976922950238,1631.7180570657692
C1,C,16.0,0.1407055909564341,1680.039564328144
C2,C,16.0,0.13458527470708814,1842.8434169626262
C3,C,16.0,0.146139110553384,1801.791813640781
C4,C,21.5,0.21406847496179032,1980.7501628101543
C5,C,21.5,0.2023373434657912,2154.0472470437335
D1,D,21.5,0.2198912688186642,1855.8884132374608
D2,D,21.5,0.2081559825882012,2010.1691965005484
D3,D,21.5,0.21469353524477588,1924.2216768003643
D4,D,21.5,0.23488703770765987,2035.4157728420878
D5,D,26.5,0.28710775374628833,2225.8536501733583
E1,E,28.0,0.39970656278590516,3948.7331620866407
E2,E,29.0,0.43056501592319935,3694.8592585887827
E3,E,30.0,0.41028776092475533,4796.892369769789
E4,E,30.5,0.4194484061926137,4912.961447239299
E5,E,31.5,0.42458704968042577,5285.697408471107
F1,F,33.76,0.4128073493039086,6552.08979867227
F2,F,34.58,0.4146463675766594,7134.477430433734
F3,F,35.15,0.43748849504880993,6407.582450233024
F4,F,35.46,0.43707376301220763,6901.746434869233
F5,F,35.0,0.46604314118795964,6003.4078492610715
G1,G,35.0,0.4485695386819387,6506.797998593706
G2,G,35.16,0.4168158469430443,7478.114174598738
G3,G,35.22,0.4339050582583135,7063.020563437204
G4,G,35.29,0.3541385465172265,12665.116204306547
G5,G,35.11,0.4562371473463578,5719.204805758202
